#t	density_B	P_survival	density_Bsite	radius
10	0.0441238	0.757269	0.0168024	38.4622
12.5893	0.0453982	0.722855	0.0171146	43.3986
15.8489	0.0472229	0.680504	0.0175294	50.7149
19.9526	0.0486935	0.636813	0.0178646	58.806
25.1189	0.050114	0.586643	0.0181322	69.0854
31.6228	0.0509171	0.54909	0.0181953	77.9134
39.8107	0.0514792	0.507319	0.0182174	87.5201
50.1187	0.0521037	0.464987	0.0181769	98.9029
63.0957	0.0518802	0.428154	0.0179313	109.566
79.4328	0.051713	0.392701	0.0176902	120.1
100	0.0505337	0.357009	0.0171719	130.266
125.893	0.0498742	0.325215	0.0167655	139.238
158.489	0.0485846	0.292322	0.0162014	148.934
199.526	0.046965	0.263267	0.0155669	157.785
251.189	0.0454229	0.235773	0.0148166	162.591
316.228	0.0432617	0.209958	0.0140545	169.495
398.107	0.041421	0.186023	0.0133482	176.844
501.187	0.0391067	0.163907	0.0125371	182.827
630.957	0.037027	0.145251	0.0117832	183.521
794.328	0.0345347	0.127415	0.0109409	187.71
1000	0.0325433	0.111398	0.0101969	190.495
1258.93	0.0298711	0.0954609	0.00934969	190.209
1584.89	0.0272873	0.0815237	0.00851681	183.978
1995.26	0.0249683	0.069966	0.00771244	186.721
2511.89	0.0220855	0.0593681	0.00681504	188.411
3162.28	0.0197553	0.04997	0.00607855	188.181
3981.07	0.017089	0.0415517	0.0052652	213.448
5011.87	0.0142573	0.0334733	0.00435811	202.266
6309.57	0.0112537	0.0261348	0.00344158	169.923
7943.28	0.00847713	0.0196561	0.0026144	147.06
10000	0.00628671	0.0143771	0.00191649	126.482
12589.3	0.0038925	0.00861828	0.00119757	89.0481
15848.9	0.00204209	0.00475905	0.00062386	57.0838
19952.6	0.00101074	0.00245951	0.000308141	29.9689
25118.9	0.000470453	0.00105979	0.000141769	19.0643
31622.8	0.000150361	0.000379924	4.68656e-05	8.12238
39810.7	7.62348e-05	0.000139972	2.31985e-05	4.302
50118.7	7.4985e-06	1.9996e-05	2.26517e-06	1.30024
63095.7	0	0	0	0
